"11br -- Deaths, age-standardised and crude deaths rates by underlying cause of death (time series classification) and gender, whole population and persons aged 15-64, 1971-2020"

"Gender","Underlying cause of death (time series classification)","Year","Deaths, whole population"
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","2007",841
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","2008",851
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","2009",836
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","2010",891
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","2011",847
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","2012",847
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","2013",818
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","2014",847
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","2015",807
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","2016",840
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","2017",806
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","2018",881
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","2019",833
"Females","42-49 Accidents excl. accidental poisoning by alcohol (V01-X44, X46-X59, Y10-Y15, Y85-Y86)","2020",756
"Females","42 Land traffic accidents","1971",353
"Females","42 Land traffic accidents","1972",358
"Females","42 Land traffic accidents","1973",319
"Females","42 Land traffic accidents","1974",259
"Females","42 Land traffic accidents","1975",285
"Females","42 Land traffic accidents","1976",265
"Females","42 Land traffic accidents","1977",203
"Females","42 Land traffic accidents","1978",183
"Females","42 Land traffic accidents","1979",206
"Females","42 Land traffic accidents","1980",166
"Females","42 Land traffic accidents","1981",173
"Females","42 Land traffic accidents","1982",196
"Females","42 Land traffic accidents","1983",210
"Females","42 Land traffic accidents","1984",175
"Females","42 Land traffic accidents","1985",172
"Females","42 Land traffic accidents","1986",197
"Females","42 Land traffic accidents","1987",200
"Females","42 Land traffic accidents","1988",208
"Females","42 Land traffic accidents","1989",236
"Females","42 Land traffic accidents","1990",213
"Females","42 Land traffic accidents","1991",217
"Females","42 Land traffic accidents","1992",207
"Females","42 Land traffic accidents","1993",160
"Females","42 Land traffic accidents","1994",152
"Females","42 Land traffic accidents","1995",127
"Females","42 Land traffic accidents","1996",126
"Females","42 Land traffic accidents","1997",150
"Females","42 Land traffic accidents","1998",120
"Females","42 Land traffic accidents","1999",129
"Females","42 Land traffic accidents","2000",126
"Females","42 Land traffic accidents","2001",130
"Females","42 Land traffic accidents","2002",112
"Females","42 Land traffic accidents","2003",111
"Females","42 Land traffic accidents","2004",120
"Females","42 Land traffic accidents","2005",88
"Females","42 Land traffic accidents","2006",88
"Females","42 Land traffic accidents","2007",105
"Females","42 Land traffic accidents","2008",78
"Females","42 Land traffic accidents","2009",76
"Females","42 Land traffic accidents","2010",67
"Females","42 Land traffic accidents","2011",72
"Females","42 Land traffic accidents","2012",66
"Females","42 Land traffic accidents","2013",66
"Females","42 Land traffic accidents","2014",57
"Females","42 Land traffic accidents","2015",66
"Females","42 Land traffic accidents","2016",46
"Females","42 Land traffic accidents","2017",47
"Females","42 Land traffic accidents","2018",56
"Females","42 Land traffic accidents","2019",43
"Females","42 Land traffic accidents","2020",40
"Females","43 Other land transport accidents","1971",14
"Females","43 Other land transport accidents","1972",5
"Females","43 Other land transport accidents","1973",4
"Females","43 Other land transport accidents","1974",1
"Females","43 Other land transport accidents","1975",8
"Females","43 Other land transport accidents","1976",1
"Females","43 Other land transport accidents","1977",2
"Females","43 Other land transport accidents","1978",3
"Females","43 Other land transport accidents","1979",5
"Females","43 Other land transport accidents","1980",3
"Females","43 Other land transport accidents","1981",2
"Females","43 Other land transport accidents","1982",1
"Females","43 Other land transport accidents","1983",3
"Females","43 Other land transport accidents","1984",2
"Females","43 Other land transport accidents","1985",3
"Females","43 Other land transport accidents","1986",3
"Females","43 Other land transport accidents","1987",4
"Females","43 Other land transport accidents","1988",5
"Females","43 Other land transport accidents","1989",7
"Females","43 Other land transport accidents","1990",3
"Females","43 Other land transport accidents","1991",3
"Females","43 Other land transport accidents","1992",5
"Females","43 Other land transport accidents","1993",5
"Females","43 Other land transport accidents","1994",5
"Females","43 Other land transport accidents","1995",3
"Females","43 Other land transport accidents","1996",7
"Females","43 Other land transport accidents","1997",10
"Females","43 Other land transport accidents","1998",14
"Females","43 Other land transport accidents","1999",10
"Females","43 Other land transport accidents","2000",10
"Females","43 Other land transport accidents","2001",8
"Females","43 Other land transport accidents","2002",9
"Females","43 Other land transport accidents","2003",16
"Females","43 Other land transport accidents","2004",13
"Females","43 Other land transport accidents","2005",11
"Females","43 Other land transport accidents","2006",10
"Females","43 Other land transport accidents","2007",6
"Females","43 Other land transport accidents","2008",8
"Females","43 Other land transport accidents","2009",2
"Females","43 Other land transport accidents","2010",7
"Females","43 Other land transport accidents","2011",3
"Females","43 Other land transport accidents","2012",4
"Females","43 Other land transport accidents","2013",8
"Females","43 Other land transport accidents","2014",7
"Females","43 Other land transport accidents","2015",7
"Females","43 Other land transport accidents","2016",8
"Females","43 Other land transport accidents","2017",4
"Females","43 Other land transport accidents","2018",4
"Females","43 Other land transport accidents","2019",1
"Females","43 Other land transport accidents","2020",2
"Females","44 Water transport accidents (V90-V94)","1971",11
"Females","44 Water transport accidents (V90-V94)","1972",9
"Females","44 Water transport accidents (V90-V94)","1973",6
"Females","44 Water transport accidents (V90-V94)","1974",14
"Females","44 Water transport accidents (V90-V94)","1975",10
"Females","44 Water transport accidents (V90-V94)","1976",5
"Females","44 Water transport accidents (V90-V94)","1977",5
"Females","44 Water transport accidents (V90-V94)","1978",6
"Females","44 Water transport accidents (V90-V94)","1979",6
"Females","44 Water transport accidents (V90-V94)","1980",4
"Females","44 Water transport accidents (V90-V94)","1981",6
"Females","44 Water transport accidents (V90-V94)","1982",6
"Females","44 Water transport accidents (V90-V94)","1983",4
"Females","44 Water transport accidents (V90-V94)","1984",8
"Females","44 Water transport accidents (V90-V94)","1985",3
"Females","44 Water transport accidents (V90-V94)","1986",2
"Females","44 Water transport accidents (V90-V94)","1987",3
"Females","44 Water transport accidents (V90-V94)","1988",6
"Females","44 Water transport accidents (V90-V94)","1989",4
"Females","44 Water transport accidents (V90-V94)","1990",6
"Females","44 Water transport accidents (V90-V94)","1991",3
"Females","44 Water transport accidents (V90-V94)","1992",6
"Females","44 Water transport accidents (V90-V94)","1993",4
"Females","44 Water transport accidents (V90-V94)","1994",7
"Females","44 Water transport accidents (V90-V94)","1995",4
"Females","44 Water transport accidents (V90-V94)","1996",3
"Females","44 Water transport accidents (V90-V94)","1997",4
"Females","44 Water transport accidents (V90-V94)","1998",5
"Females","44 Water transport accidents (V90-V94)","1999",3
"Females","44 Water transport accidents (V90-V94)","2000",2
"Females","44 Water transport accidents (V90-V94)","2001",5
"Females","44 Water transport accidents (V90-V94)","2002",7
"Females","44 Water transport accidents (V90-V94)","2003",3
"Females","44 Water transport accidents (V90-V94)","2004",2
"Females","44 Water transport accidents (V90-V94)","2005",1
"Females","44 Water transport accidents (V90-V94)","2006",4
"Females","44 Water transport accidents (V90-V94)","2007",3
"Females","44 Water transport accidents (V90-V94)","2008",1
"Females","44 Water transport accidents (V90-V94)","2009",2
"Females","44 Water transport accidents (V90-V94)","2010",1
"Females","44 Water transport accidents (V90-V94)","2011",3
"Females","44 Water transport accidents (V90-V94)","2012",1
"Females","44 Water transport accidents (V90-V94)","2013",0
"Females","44 Water transport accidents (V90-V94)","2014",3
"Females","44 Water transport accidents (V90-V94)","2015",1
"Females","44 Water transport accidents (V90-V94)","2016",2
"Females","44 Water transport accidents (V90-V94)","2017",3
"Females","44 Water transport accidents (V90-V94)","2018",4
"Females","44 Water transport accidents (V90-V94)","2019",0
"Females","44 Water transport accidents (V90-V94)","2020",2
"Females","45 Others and unspecified transport accidents (V95-V99)","1971",2
"Females","45 Others and unspecified transport accidents (V95-V99)","1972",1
"Females","45 Others and unspecified transport accidents (V95-V99)","1973",2
"Females","45 Others and unspecified transport accidents (V95-V99)","1974",2
"Females","45 Others and unspecified transport accidents (V95-V99)","1975",3
"Females","45 Others and unspecified transport accidents (V95-V99)","1976",4
"Females","45 Others and unspecified transport accidents (V95-V99)","1977",2
"Females","45 Others and unspecified transport accidents (V95-V99)","1978",1
"Females","45 Others and unspecified transport accidents (V95-V99)","1979",1
"Females","45 Others and unspecified transport accidents (V95-V99)","1980",1
"Females","45 Others and unspecified transport accidents (V95-V99)","1981",1
"Females","45 Others and unspecified transport accidents (V95-V99)","1982",4
"Females","45 Others and unspecified transport accidents (V95-V99)","1983",2
"Females","45 Others and unspecified transport accidents (V95-V99)","1984",5
"Females","45 Others and unspecified transport accidents (V95-V99)","1985",2
"Females","45 Others and unspecified transport accidents (V95-V99)","1986",2
"Females","45 Others and unspecified transport accidents (V95-V99)","1987",3
"Females","45 Others and unspecified transport accidents (V95-V99)","1988",0
"Females","45 Others and unspecified transport accidents (V95-V99)","1989",3
"Females","45 Others and unspecified transport accidents (V95-V99)","1990",1
"Females","45 Others and unspecified transport accidents (V95-V99)","1991",1
"Females","45 Others and unspecified transport accidents (V95-V99)","1992",3
"Females","45 Others and unspecified transport accidents (V95-V99)","1993",1
"Females","45 Others and unspecified transport accidents (V95-V99)","1994",0
"Females","45 Others and unspecified transport accidents (V95-V99)","1995",0
"Females","45 Others and unspecified transport accidents (V95-V99)","1996",0
"Females","45 Others and unspecified transport accidents (V95-V99)","1997",2
"Females","45 Others and unspecified transport accidents (V95-V99)","1998",0
"Females","45 Others and unspecified transport accidents (V95-V99)","1999",0
"Females","45 Others and unspecified transport accidents (V95-V99)","2000",0
"Females","45 Others and unspecified transport accidents (V95-V99)","2001",4
"Females","45 Others and unspecified transport accidents (V95-V99)","2002",0
"Females","45 Others and unspecified transport accidents (V95-V99)","2003",1
"Females","45 Others and unspecified transport accidents (V95-V99)","2004",0
"Females","45 Others and unspecified transport accidents (V95-V99)","2005",1
"Females","45 Others and unspecified transport accidents (V95-V99)","2006",0
"Females","45 Others and unspecified transport accidents (V95-V99)","2007",1
"Females","45 Others and unspecified transport accidents (V95-V99)","2008",0
"Females","45 Others and unspecified transport accidents (V95-V99)","2009",0
"Females","45 Others and unspecified transport accidents (V95-V99)","2010",1
"Females","45 Others and unspecified transport accidents (V95-V99)","2011",0
"Females","45 Others and unspecified transport accidents (V95-V99)","2012",0
"Females","45 Others and unspecified transport accidents (V95-V99)","2013",4
"Females","45 Others and unspecified transport accidents (V95-V99)","2014",2
"Females","45 Others and unspecified transport accidents (V95-V99)","2015",0
